casenum,cohort,female,minority,ab39m,ab39t,ab39u,ab39w,ab39x,ga33a,ga33h,ga33i,ga33k,ga33l,math_g7,math_g10,math_g12,op_know,op_know2,siok,siok2
3416,2,0,1,1,1,1,1,1,9999,9999,9999,9999,9999,43.99,9999,9999,9999,9999,9999,9999
1419,2,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,40.31,50.36,9999,9999,9999,9999,9999
6229,2,0,1,1,1,1,1,1,1,1,1,1,1,38.89,48.88,37.41,1,1,1,1
3037,2,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,41.34,9999,9999,9999,9999,9999,9999
4715,2,0,1,1,1,0,1,1,9999,9999,9999,9999,9999,46.26,9999,9999,1,1,0.89,0
3690,2,0,1,1,0,0,1,1,9999,9999,9999,9999,9999,46.2,9999,9999,9999,9999,9999,9999
4817,2,0,1,1,0,1,0,1,9999,9999,9999,9999,9999,44.53,9999,9999,9999,9999,9999,9999
4591,2,1,1,1,0,1,0,0,1,0,0,1,1,51,57.65,9999,1,1,1,1
5469,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,40.47,9999,9999,9999,9999,9999,9999
1116,2,0,0,1,0,0,1,0,0,0,0,0,1,51.49,63.08,9999,1,1,1,1
5700,2,0,1,0,1,1,1,1,9999,9999,9999,9999,9999,46.71,9999,9999,1,1,1,1
6690,2,0,1,1,0,0,0,0,9999,9999,9999,9999,9999,38.14,9999,9999,9999,9999,9999,9999
2580,2,1,1,1,9999,0,0,1,1,1,1,1,1,39.2,43.82,9999,1,1,1,1
1672,2,0,1,1,1,1,1,0,9999,9999,9999,9999,9999,35.53,9999,9999,9999,9999,9999,9999
3992,2,0,1,0,0,1,1,0,0,0,0,1,0,47.63,46.76,9999,9999,9999,9999,9999
4067,2,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,33.44,9999,9999,9999,9999,9999,9999
6537,2,0,1,1,0,1,0,0,9999,9999,9999,9999,9999,35.92,9999,9999,9999,9999,9999,9999
1693,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,41.45,9999,9999,9999,9999,9999,9999
5135,2,1,0,1,1,1,1,1,9999,9999,9999,9999,9999,35.61,9999,9999,9999,9999,9999,9999
2322,2,0,1,1,1,0,1,1,9999,9999,9999,9999,9999,45.06,9999,9999,1,1,1,1
6256,2,0,0,1,0,0,1,1,9999,9999,9999,9999,9999,38.41,9999,9999,9999,9999,9999,9999
2007,2,1,1,1,0,1,0,1,0,0,1,1,0,33.6,44.29,9999,0,0,0,0
5248,2,1,0,1,1,0,1,0,1,1,1,1,1,35.03,53.47,9999,9999,9999,9999,9999
2085,2,1,1,0,0,1,0,1,0,0,0,0,0,42.17,54.13,9999,1,1,1,1
3694,2,0,0,1,0,0,0,0,9999,9999,9999,9999,9999,34.37,9999,9999,9999,9999,9999,9999
5325,2,1,1,1,1,0,1,1,1,1,1,1,1,39.93,44.57,9999,1,1,1,1
3209,2,0,1,0,0,1,1,0,9999,9999,9999,9999,9999,39.35,36.52,9999,9999,9999,9999,9999
3309,2,0,0,0,1,1,1,1,0,0,0,0,0,44.16,9999,9999,1,1,1,1
6417,2,1,1,1,0,0,0,0,0,1,1,1,1,43.56,9999,9999,1,1,1,1
4945,2,1,1,0,0,0,0,0,9999,9999,9999,9999,9999,41.08,9999,9999,9999,9999,9999,9999
6013,2,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,32.71,9999,9999,9999,9999,9999,9999
4347,2,0,1,1,1,0,1,1,1,1,1,1,0,33.26,41.99,45.78,0.33,0,0.67,0
6597,2,0,1,1,1,1,1,1,0,0,0,0,0,51.42,65.46,9999,0.33,0,0.11,0
4523,2,0,1,1,0,0,1,1,0,0,0,0,0,47.42,9999,9999,9999,9999,9999,9999
3362,2,1,1,1,1,1,1,0,9999,9999,9999,9999,9999,41.94,9999,9999,9999,9999,9999,9999
5919,2,0,1,1,1,1,0,1,1,0,1,0,0,43.61,60.35,9999,9999,9999,9999,9999
2250,2,1,0,0,0,0,0,0,1,0,0,0,0,68.15,89.89,91.3,0.67,0,0.78,0
1685,2,1,0,0,0,0,0,0,0,0,0,0,0,62.13,76.57,9999,1,1,1,1
6744,2,1,0,0,0,0,0,0,0,0,0,0,0,63.53,76.12,9999,0.67,0,0.56,0
3048,2,0,0,0,0,0,9999,0,9999,9999,9999,9999,9999,62.86,9999,9999,1,1,1,1
5303,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,38.93,9999,47.39,0.33,0,0.75,0
4491,2,1,0,0,0,0,9999,0,0,0,0,0,0,58.21,70.89,9999,1,1,1,1
5202,2,1,0,0,0,0,1,0,0,1,0,1,1,59.35,80.96,93.3,0.67,0,0.67,0
3171,2,0,0,1,0,0,1,0,1,0,0,1,0,46.69,72.37,9999,1,1,1,1
2266,2,0,0,0,1,1,0,1,1,1,1,1,1,59.66,73.01,9999,1,1,1,1
2534,2,0,0,0,0,0,1,0,9999,9999,9999,9999,9999,69.87,9999,9999,1,1,1,1
5595,2,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,41.81,9999,9999,0,0,0,0
2158,2,0,0,0,0,0,1,0,0,0,0,0,0,64.76,75.8,9999,9999,9999,9999,9999
1780,2,0,0,1,0,0,1,0,1,0,0,0,0,39.69,9999,9999,9999,9999,9999,9999
6727,2,1,0,0,0,1,0,0,0,0,9999,0,0,55.17,64.78,9999,1,1,1,1
5719,2,0,0,1,1,1,0,1,1,1,1,1,0,58.23,68.88,78.95,1,1,1,1
2914,2,0,0,1,1,1,0,1,9999,9999,9999,9999,9999,48.12,9999,9999,1,1,1,1
6414,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,54.6,9999,9999,1,1,1,1
3988,2,1,0,0,1,0,0,1,9999,9999,9999,9999,9999,54.41,9999,9999,0.33,0,0.56,0
2192,2,0,0,1,1,1,1,0,1,1,1,1,1,75.93,93.14,9999,1,1,1,1
1289,2,0,0,1,1,1,1,1,1,1,1,1,1,62.01,95.26,9999,1,1,1,1
1462,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,38.07,9999,9999,9999,9999,9999,9999
3985,2,0,0,9999,9999,9999,9999,9999,1,0,0,0,0,53.21,9999,9999,9999,9999,9999,9999
2652,2,1,0,0,0,0,0,0,1,0,0,0,0,53.06,65.84,9999,1,1,1,1
2227,2,0,0,9999,9999,9999,9999,9999,1,1,1,0,1,46.49,44.57,9999,1,1,0.75,0
5521,2,1,0,0,0,0,0,0,1,1,9999,1,1,53.94,62.47,64.48,0.33,0,0.33,0
5895,2,0,0,9999,9999,9999,9999,9999,0,1,1,0,0,59.79,74.51,9999,1,1,1,1
2321,2,1,0,0,0,0,0,0,0,0,0,0,0,42.23,59.33,45.5,0.33,0,0.11,0
3597,2,1,0,0,0,0,0,0,0,0,0,0,0,53.12,44.93,9999,9999,9999,9999,9999
6091,2,1,0,0,0,0,0,0,1,0,0,0,0,60.53,9999,9999,1,1,1,1
3442,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,62.03,63.49,9999,0.67,0,0.89,0
1071,2,1,0,0,0,0,0,0,1,1,0,0,1,53.24,73.3,79.79,0.67,0,0.22,0
1452,2,1,0,0,0,0,0,0,1,1,0,1,1,71.91,88.87,91.45,1,1,0.89,0
1330,2,1,0,0,0,0,0,0,1,0,1,0,0,44.37,56.45,84.54,0.33,0,0.56,0
2051,2,1,0,0,0,0,0,0,1,0,0,0,0,60.99,69.96,9999,1,1,1,1
1235,2,0,0,1,1,1,1,1,1,1,1,1,1,40.08,9999,56.13,0.67,0,0.67,0
2682,2,0,0,0,0,1,1,1,9999,9999,9999,9999,9999,43.36,9999,9999,0,0,0,0
4928,2,1,0,1,1,1,1,1,9999,9999,9999,9999,9999,41.4,9999,50.3,0.33,0,0.33,0
1429,2,0,0,1,0,1,0,1,9999,9999,9999,9999,9999,45.2,9999,9999,9999,9999,9999,9999
1686,2,0,0,1,0,1,0,0,1,1,1,1,1,67.51,75.57,9999,1,1,1,1
3322,2,0,0,1,1,1,1,1,1,0,0,0,0,66.67,85.73,9999,0.67,0,0.89,0
1584,2,0,0,1,1,1,1,0,0,0,0,0,0,40.47,9999,9999,9999,9999,9999,9999
6164,2,0,0,0,0,0,9999,0,1,1,1,1,1,57.42,65.09,9999,1,1,1,1
1480,2,0,0,0,0,0,0,0,1,1,1,1,1,60.57,52.07,9999,0.33,0,0.78,0
4963,2,1,0,0,0,0,0,0,0,0,0,1,0,57.18,67.86,9999,1,1,0.56,0
